dataset,id,n,plugin,cs,cs-hybrid,NumSets,gt,ueigv,hybrid-alphabet,snne,kle,predictive,surprise,oracle,best-guess,judge-llm-score
hotpot_qa_final,1878,50,2.190065198849332,,2.2763605119675683,,,,,,,,,2.5292081251349225,,
hotpot_qa_final,1878,75,2.3400230642183626,,2.4325662701708723,,,,,,,,,2.5292081251349225,,
hotpot_qa_final,1878,100,2.5492780799431527,,2.609042303078373,,,,,,,,,2.5292081251349225,,
hotpot_qa_final,1879,5,1.0549201679861442,,1.3572884455193177,,,,,,,,,2.3163900776460307,,
hotpot_qa_final,1879,10,0.9433483923290392,,1.1033340162511616,,,,,,,0.13252959419977392,,2.3163900776460307,,
hotpot_qa_final,1879,25,1.6596043402202987,,1.7427319127583913,,,,,,,,,2.3163900776460307,,
hotpot_qa_final,1879,50,1.8169003365166387,,1.8444776249310872,,,,,,,,,2.3163900776460307,,
hotpot_qa_final,1879,75,2.0399385425003826,,2.061771617795738,,,,,,,,,2.3163900776460307,,
hotpot_qa_final,1879,100,2.3321401837404823,,2.351503070791336,,,,,,,,,2.3163900776460307,,
hotpot_qa_final,1880,5,0.5004024235381879,,0.7913473065443453,,,,,,,,,1.391129577054877,,
hotpot_qa_final,1880,10,0.8018185525433372,,1.0752459437407267,,,,,,,0.17731451604621515,,1.391129577054877,,
hotpot_qa_final,1880,25,1.3552801138210837,,1.3841985295523702,,,,,,,,,1.391129577054877,,
hotpot_qa_final,1880,50,1.310619934851006,,1.3420200740988848,,,,,,,,,1.391129577054877,,
hotpot_qa_final,1880,75,1.4719150253631832,,1.5344806303948668,,,,,,,,,1.391129577054877,,
hotpot_qa_final,1880,100,1.4460467107401878,,1.4398321410286268,,,,,,,,,1.391129577054877,,
hotpot_qa_final,1881,5,-0.0,,0.28701405113518824,,,,,,,,,0.971140532219256,,
hotpot_qa_final,1881,10,-0.0,,0.3083285118061868,,,,,,,0.14723910093564047,,0.971140532219256,,
hotpot_qa_final,1881,25,0.9173573878312139,,0.9283130536743863,,,,,,,,,0.971140532219256,,
hotpot_qa_final,1881,50,1.0008374812389056,,1.0009836617995052,,,,,,,,,0.971140532219256,,
hotpot_qa_final,1881,75,0.9908353864438493,,0.9908412493015837,,,,,,,,,0.971140532219256,,
hotpot_qa_final,1881,100,0.982452082747858,,0.9824523201836463,,,,,,,,,0.971140532219256,,
hotpot_qa_final,1882,5,-0.0,,0.41412265397171144,,,,,,,,,1.7209753434078772,,
hotpot_qa_final,1882,10,0.5004024235381879,,0.713073153787392,,,,,,,0.34619819722389644,,1.7209753434078772,,
hotpot_qa_final,1882,25,1.267512898875566,,1.213138630298108,,,,,,,,,1.7209753434078772,,
hotpot_qa_final,1882,50,1.1418572655728578,,1.010840536814499,,,,,,,,,1.7209753434078772,,
hotpot_qa_final,1882,75,1.3834001942976402,,1.2260240331847239,,,,,,,,,1.7209753434078772,,
hotpot_qa_final,1882,100,1.718341779509755,,1.679158593560345,,,,,,,,,1.7209753434078772,,
hotpot_qa_final,1883,5,-0.0,,0.36529076584030884,,,,,,,,,1.2462490344076638,,
hotpot_qa_final,1883,10,-0.0,,0.3695664523048704,,,,,,,0.26117605482544526,,1.2462490344076638,,
hotpot_qa_final,1883,25,0.167944147734173,,0.5014925105581659,,,,,,,,,1.2462490344076638,,
hotpot_qa_final,1883,50,0.9055360985284887,,0.981217275402698,,,,,,,,,1.2462490344076638,,
hotpot_qa_final,1883,75,1.210998230047194,,1.2258519935797496,,,,,,,,,1.2462490344076638,,
hotpot_qa_final,1883,100,1.2839010938735702,,1.3199951988144905,,,,,,,,,1.2462490344076638,,
hotpot_qa_final,1884,5,-0.0,,0.2998006408237376,,,,,,,,,-0.0,,
hotpot_qa_final,1884,10,-0.0,,0.2591581976837231,,,,,,,0.16909608831303355,,-0.0,,
hotpot_qa_final,1884,25,-0.0,,0.24646003301314817,,,,,,,,,-0.0,,
hotpot_qa_final,1884,50,-0.0,,0.28616456034494137,,,,,,,,,-0.0,,
hotpot_qa_final,1884,75,-0.0,,0.29389582395721653,,,,,,,,,-0.0,,
hotpot_qa_final,1884,100,-0.0,,0.2919615928538695,,,,,,,,,-0.0,,
hotpot_qa_final,1885,5,1.0549201679861442,,1.3572884455193177,,,,,,,,,1.5950680194169153,,
hotpot_qa_final,1885,10,1.0888999753452238,,1.0961123986667536,,,,,,,0.4201811242249002,,1.5950680194169153,,
hotpot_qa_final,1885,25,1.399346373515739,,1.4298625987251277,,,,,,,,,1.5950680194169153,,
hotpot_qa_final,1885,50,1.5144559337215433,,1.3787899201341958,,,,,,,,,1.5950680194169153,,
hotpot_qa_final,1885,75,1.46662740436375,,1.25208052225944,,,,,,,,,1.5950680194169153,,
hotpot_qa_final,1885,100,1.6029390271408137,,1.407836657738842,,,,,,,,,1.5950680194169153,,
hotpot_qa_final,1886,5,1.3321790402101223,,2.2820500089392226,,,,,,,,,1.715396919303792,,
hotpot_qa_final,1886,10,1.2206072645530175,,1.4308706949529766,,,,,,,0.2566380987508723,,1.715396919303792,,
hotpot_qa_final,1886,25,1.509533719792005,,1.464834942833861,,,,,,,,,1.715396919303792,,
hotpot_qa_final,1886,50,1.4053760257410668,,1.256011564725426,,,,,,,,,1.715396919303792,,
hotpot_qa_final,1886,75,1.6145194549658801,,1.5116745671290985,,,,,,,,,1.715396919303792,,
hotpot_qa_final,1886,100,1.7145070576644155,,1.665474119199893,,,,,,,,,1.715396919303792,,
hotpot_qa_final,1887,5,0.5004024235381879,,0.7913473065443453,,,,,,,,,1.4921416024608594,,
hotpot_qa_final,1887,10,0.6108643020548935,,0.6629843041141879,,,,,,,0.22985161003952032,,1.4921416024608594,,
hotpot_qa_final,1887,25,1.0920192874506351,,1.0921264814810505,,,,,,,,,1.4921416024608594,,
hotpot_qa_final,1887,50,1.1653501063768885,,1.168544066880157,,,,,,,,,1.4921416024608594,,
hotpot_qa_final,1887,75,1.4562736416614035,,1.4564338787766467,,,,,,,,,1.4921416024608594,,
hotpot_qa_final,1887,100,1.4888555065086022,,1.4888619376449728,,,,,,,,,1.4921416024608594,,
hotpot_qa_final,1888,5,1.3321790402101223,,2.2820500089392226,,,,,,,,,2.127978439784517,,
hotpot_qa_final,1888,10,1.8343719702816235,,2.5742898389448525,,,,,,,0.28866091214429646,,2.127978439784517,,
hotpot_qa_final,1888,25,1.796975532383828,,2.001836435550224,,,,,,,,,2.127978439784517,,
hotpot_qa_final,1888,50,1.8508761450417366,,1.8868500965936295,,,,,,,,,2.127978439784517,,
hotpot_qa_final,1888,75,2.019997489471912,,2.0383457016298667,,,,,,,,,2.127978439784517,,
hotpot_qa_final,1888,100,2.1260711871117155,,2.1569599131413275,,,,,,,,,2.127978439784517,,
hotpot_qa_final,1889,5,-0.0,,0.17789132559250978,,,,,,,,,0.7305050701300696,,
hotpot_qa_final,1889,10,-0.0,,0.33673105888988153,,,,,,,0.15519201061150906,,0.7305050701300696,,
hotpot_qa_final,1889,25,0.6268694575724263,,0.6471409741624803,,,,,,,,,0.7305050701300696,,
hotpot_qa_final,1889,50,0.6730116670092565,,0.7199124644452742,,,,,,,,,0.7305050701300696,,
hotpot_qa_final,1889,75,0.6924955508728705,,0.7300233468678773,,,,,,,,,0.7305050701300696,,
hotpot_qa_final,1889,100,0.783010369932868,,0.7839024676465435,,,,,,,,,0.7305050701300696,,
hotpot_qa_final,1890,5,-0.0,,0.2626778559698037,,,,,,,,,0.3099017460520568,,
hotpot_qa_final,1890,10,-0.0,,0.25747249733125,,,,,,,0.11311734291108037,,0.3099017460520568,,
hotpot_qa_final,1890,25,-0.0,,0.27421654624102937,,,,,,,,,0.3099017460520568,,
hotpot_qa_final,1890,50,-0.0,,0.27325346117968874,,,,,,,,,0.3099017460520568,,
hotpot_qa_final,1890,75,-0.0,,0.2721898940010916,,,,,,,,,0.3099017460520568,,
hotpot_qa_final,1890,100,0.3250829733914482,,0.3250890895420145,,,,,,,,,0.3099017460520568,,
hotpot_qa_final,1891,5,0.6730116670092565,,0.7070860020527115,,,,,,,,,0.8994716418605407,,
hotpot_qa_final,1891,10,0.5004024235381879,,0.5770659364538384,,,,,,,0.33587573698738354,,0.8994716418605407,,
hotpot_qa_final,1891,25,0.5004024235381879,,0.5722364784425895,,,,,,,,,0.8994716418605407,,
hotpot_qa_final,1891,50,0.439669879401343,,0.5125789479219656,,,,,,,,,0.8994716418605407,,
hotpot_qa_final,1891,75,0.5183397302526579,,0.6076179323590314,,,,,,,,,0.8994716418605407,,
hotpot_qa_final,1891,100,0.9142025851610709,,0.9142025876628312,,,,,,,,,0.8994716418605407,,
hotpot_qa_final,1892,5,-0.0,,0.192272420232874,,,,,,,,,1.3443060245222342,,
hotpot_qa_final,1892,10,0.3250829733914482,,0.5256149754034921,,,,,,,0.12572113470035254,,1.3443060245222342,,
hotpot_qa_final,1892,25,0.7938169516167373,,0.9197686141488371,,,,,,,,,1.3443060245222342,,
hotpot_qa_final,1892,50,1.3535611260833162,,1.3648970118791803,,,,,,,,,1.3443060245222342,,
hotpot_qa_final,1892,75,1.405587888120663,,1.406763803604253,,,,,,,,,1.3443060245222342,,
hotpot_qa_final,1892,100,1.3461554077919091,,1.346634590946078,,,,,,,,,1.3443060245222342,,
hotpot_qa_final,1893,5,-0.0,,0.16399067828577404,,,,,,,,,0.5267089734524637,,
hotpot_qa_final,1893,10,-0.0,,0.18603622139613682,,,,,,,0.09947865433776443,,0.5267089734524637,,
hotpot_qa_final,1893,25,0.5929533174474745,,0.5930500126524716,,,,,,,,,0.5267089734524637,,
hotpot_qa_final,1893,50,0.6268694575724263,,0.6268694591115904,,,,,,,,,0.5267089734524637,,
hotpot_qa_final,1893,75,0.5799151714181009,,0.5799151714459446,,,,,,,,,0.5267089734524637,,
hotpot_qa_final,1893,100,0.5510799280869728,,0.5510799280873859,,,,,,,,,0.5267089734524637,,
hotpot_qa_final,1894,5,-0.0,,0.2654785150991749,,,,,,,,,0.714183467041596,,
hotpot_qa_final,1894,10,0.8018185525433373,,1.0038766813411955,,,,,,,0.24317486495150525,,0.714183467041596,,
hotpot_qa_final,1894,25,0.8945510979978213,,0.9353878679623727,,,,,,,,,0.714183467041596,,
